tr0003,st0002,4,19-11-2022
tr0018,st0002,9,19-05-2022
tr0019,st0002,9,19-05-2022
tr0020,st0002,9,19-06-2022
tr0021,st0002,9,19-06-2022
tr0022,st0002,9,19-06-2022
tr0023,st0002,9,19-06-2022
tr0024,st0002,9,19-06-2022
tr0048,st0001,9,19-08-2022
tr0049,st0001,9,19-09-2022
tr0050,st0001,9,19-09-2022
tr0051,st0001,9,19-09-2022
tr0052,st0001,9,19-09-2022
tr0053,st0001,9,20-09-2022
tr0054,st0001,9,20-09-2022
tr0055,st0001,9,20-09-2022
tr0058,st0001,9,20-10-2022
tr0106,st0014,2,20-11-2022
tr0164,st0001,15,11-12-2022
